GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,AGE_YEARS,YEARS_EMPLOYED,Family_Members,label
M,Y,N,1,202500.0,Commercial associate,Higher education,Married,With parents,27.0,1.0,3,0
F,N,N,0,69750.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,60.0,0.0,1,0
F,Y,N,0,193500.0,Working,Secondary / secondary special,Married,House / apartment,57.0,25.0,2,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,27.0,6.0,3,0
F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,0.0,1,0
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,4.0,2,0
M,Y,Y,1,360000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,8.0,3,0
M,Y,N,0,337500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,3.0,2,0
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,7.0,2,1
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,38.0,8.0,2,0
F,Y,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,39.0,10.0,2,0
F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,22.0,3,0
F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,2,1
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,2,0
F,N,Y,0,306000.0,Commercial associate,Higher education,Married,House / apartment,41.0,9.0,2,0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,43.0,4.0,1,0
M,Y,Y,0,261000.0,Working,Incomplete higher,Married,House / apartment,44.0,4.0,2,0
M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,67.0,0.0,2,0
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,2,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,1,0
F,N,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,48.0,1.0,2,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,5.0,2,0
M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,4.0,2,0
F,N,N,0,261000.0,Commercial associate,Incomplete higher,Married,House / apartment,27.0,3.0,2,0
F,N,Y,2,76500.0,State servant,Higher education,Married,House / apartment,40.0,6.0,4,0
F,Y,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,50.0,8.0,1,0
F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,44.0,12.0,3,0
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,55.0,13.0,2,0
F,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,37.0,10.0,2,0
F,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,34.0,11.0,2,0
F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,26.0,5.0,2,0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Civil marriage,Office apartment,57.0,9.0,2,0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,1.0,2,0
F,Y,Y,0,157500.0,Commercial associate,Higher education,Single / not married,House / apartment,43.0,3.0,1,0
F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,31.0,7.0,1,0
F,N,N,0,594000.0,Pensioner,Higher education,Single / not married,Municipal apartment,48.0,0.0,1,0
M,Y,Y,0,135000.0,Working,Higher education,Civil marriage,House / apartment,53.0,2.0,2,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,7.0,2,0
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,66.0,0.0,2,0
F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,24.0,2,0
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,15.0,2,0
F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,47.0,8.0,1,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,30.0,5.0,2,0
M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,20.0,3,0
